ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
008046400;Bridgestone 205/55 R 16  91 V   TL;ER 300 Ecopia VO P # 03364;60517;65,9;56,674;4;0;;-1;1
008046420;Bridgestone 205/55 R 16  91 W   TL;ER 300 Ecopia MO # 03522;60487;56,8;48,848;4;0;;-1;1
008046890;Bridgestone 225/45 R 17  91 W   TL;RE 050 A Ecopia RFT * # 03428;60465;89,5;76,97;4;0;;-1;1
008048810;Bridgestone 245/65 R 17 XL 111 H   TL;Dueler H/P Sport VO # 03881;64611;127,1;109,306;4;0;;-1;1
008049220;Bridgestone 295/60 R 22.5 150/147 L  TL;R 249 Ecopia # 03821;65652;363;303,6;2;0;;-1;1
008064200;Bridgestone 195/55 R 16  87 H   TL;ER 300 A-Clas MO # 04903;402115;72,6;62,436;4;0;;-1;1
008065300;Bridgestone 235/65 R 17 XL 108 V   TL;Dueler H/P Sport VO P # 05118;402262;106,9;91,934;4;0;;-1;1
008066040;Bridgestone 295/80 R 22.5 XL 154 M   TL;M 788 Evo 3PMSF M+S # 05104;217516;402,6;336,72;2;0;;-1;1
008066060;Bridgestone 225/40 R 18 XL  92 Y   TL;S001 MO # 05197;402142;83,1;71,466;4;0;;-1;1
008067750;Bridgestone 205/60 R 16  92 V   TL;ER 33 TOYOTA # 05659;416428;91,2;78,432;4;0;;-1;1
008067880;Bridgestone 205/55 R 16  91 V   TL;T001 VOLVO # 05702;416394;60;51,6;4;0;;-1;1
008068100;Bridgestone 205/55 R 16  91 V   TL;T001 AUR LHD # 06830;263021;59,6;51,256;4;0;;-1;1
008068240;Bridgestone 225/50 R 16  92 W   TL;RE 002 # 05669;417371;86,6;74,476;4;0;;-1;1
008069210;Bridgestone 190/50 ZR17  (73W)  TL;T 30 REAR # 06275;242774;141,4;126,104;1;0;;-1;1
008069580;Bridgestone 245/70 R 16 XL 111 T   TL;LM 80 Evo # 05953;258912;107,1;92,106;4;0;;-1;1
008070450;Bridgestone 195/65 R 15  91 T   TL;B 250 MO # 06430;244881;46;39,56;4;0;;-1;1
008071610;Bridgestone 245/70 R 16 RF 111 S   TL;Dueler H/T 689 # 06556;249887;93,4;80,324;4;0;;-1;1
008073080;Bridgestone 205/65 R 15  94 H   TL;T001 # 07116;271318;66,8;57,448;4;0;;-1;1
008074450;Bridgestone 110/80 R 19  59 V   TL;BW 501 J FRONT # 07317;274591;84,1;76,826;1;0;;-1;1
008074460;Bridgestone 150/70 R 17  69 V   TL;BW 502 J REAR # 07318;274967;98,7;89,382;1;0;;-1;1
008075310;Bridgestone 205/80 R 16 XL 104 T   TL;LM 80 Evo # 06688;282241;94,9;81,614;4;0;;-1;1
008075900;Bridgestone 205/55 R 16 XL  94 H   TL;ER 300 # 07422;293491;68;58,48;4;0;;-1;1
008077410;Bridgestone 225/45 R 17  91 V   TL;T001 FIAT # 07428;300895;80,8;69,488;4;0;;-1;1
008077440;Bridgestone 215/45 R 17  87 W   TL;T001 # 07739;295498;87,6;75,336;4;0;;-1;1
008078030;Bridgestone 175/65 R 14  82 T   TL;LM 001 # 08344;318430;38,1;32,766;4;0;;-1;1
008078230;Bridgestone 205/55 R 16 XL  94 H   TL;LM 001 # 07228;325868;74,5;64,07;4;0;;-1;1
008078860;Bridgestone 225/60 R 18 100 V   TL;Dueler H/P Sport # 08513;325663;117,5;101,05;4;0;;-1;1
008079880;Bridgestone 225/45 R 17  91 Y   TL;T001 # 08766;321589;74,9;64,414;4;0;;-1;1
008079960;Bridgestone 385/65 R 22.5 160 K  (158L) 158L  TL;M 748 M+S # 08365;338131;381,7;319,24;2;0;;-1;1
008085660;Bridgestone 80 /90 - 21  54 H   TL;H 50 FRONT # 09782;383387;71,1;65,646;1;0;;-1;1
008090846;Bridgestone 255/60 R 18 108 H   TL;Dueler 840 SSANGYONG -DOT 12-;257506;74,3;63,898;4;1;0,85;;1
008091021;Bridgestone 255/60 R 18 108 H   TL;Dueler 840 SSANGYONG -DOT 13-;257506;81,1;69,746;4;1;0,9;;1
008091024;Bridgestone 255/65 R 16 109 H   TL;Dueler H/P Sport -DOT 13-;37933;71,5;61,49;4;1;0,9;;1
008091027;Bridgestone 235/65 R 17 104 V   TL;Dueler H/P Sport -DOT 13-;241949;73,1;62,866;4;1;0,9;;1
008091027;Bridgestone 235/65 R 17 104 V   TL;Dueler H/P Sport -DOT 13-;346820;73,1;62,866;4;1;0,9;;1
008091072;Bridgestone 315/80 R 22.5 154/156 M   TL;M 749 Ecopia M+S -DOT 12-;65666;371,8;310,96;2;1;0,9;;1
008091084;Bridgestone 265/70 R 16 112 T   TL;LM 25 4x4 -DOT 13-;362886;76,9;66,134;4;0;;-1;1
008091084;Bridgestone 265/70 R 16 112 T   TL;LM 25 4x4 -DOT 13-;35172;76,9;66,134;4;1;0,87;;1
008091084;Bridgestone 265/70 R 16 112 T   TL;LM 25 4x4 -DOT 13-;319329;76,9;66,134;4;1;0,87;;1
008091085;Bridgestone 235/40 R 18 XL  95 V   TL;LM 32 S -DOT 13-;335565;97;83,42;4;0;;-1;1
008091085;Bridgestone 235/40 R 18 XL  95 V   TL;LM 32 S -DOT 13-;355808;97;83,42;4;1;0,87;;1
008091085;Bridgestone 235/40 R 18 XL  95 V   TL;LM 32 S -DOT 13-;260720;97;83,42;4;1;0,87;;1
008091087;Bridgestone 215/50 R 17 XL  95 V   TL;LM 32 -DOT 13-;357652;76,4;65,704;4;1;0,87;;1
008091087;Bridgestone 215/50 R 17 XL  95 V   TL;LM 32 -DOT 13-;252288;76,4;65,704;4;1;0,87;;1
008091096;Bridgestone 165/70 R 13  79 T   TL;B 250 -DOT 14-;292936;32,9;28,294;4;1;0,925;;1
008091098;Bridgestone 185/65 R 14  86 T   TL;Ecopia EP 150 -DOT 14-;239685;38,8;33,368;4;1;0,92;;1
008091098;Bridgestone 185/65 R 14  86 T   TL;Ecopia EP 150 -DOT 14-;300898;38,8;33,368;4;1;0,92;;1
008091098;Bridgestone 185/65 R 14  86 T   TL;Ecopia EP 150 -DOT 14-;65703;38,8;33,368;4;1;0,92;;1
008091100;Bridgestone 185/55 R 15  82 V   TL;Ecopia EP 150 -DOT 14-;282637;43,3;37,238;4;1;0,92;;1
008091100;Bridgestone 185/55 R 15  82 V   TL;Ecopia EP 150 -DOT 14-;286669;43,3;37,238;4;1;0,92;;1
008091108;Bridgestone 205/55 R 16  91 W   TL;ER 300-1 RFT * -DOT 14-;46783;63,3;54,438;4;1;0,92;;1
008091122;Bridgestone 215/45 R 17  87 W   TL;RE 050 A SUBARU -DOT 14-;28870;76,7;65,962;4;1;0,92;;1
008091122;Bridgestone 215/45 R 17  87 W   TL;RE 050 A SUBARU -DOT 14-;42175;76,7;65,962;4;1;0,92;;1
