ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
004002600;Barum 295/80 R 22.5 152/148 M  TL;BF 15 # 0560230000;31999;264;220,8;2;2;;-1;1
004003880;Barum 165/80 R 14  85 T   TL;Brillantis # 1540321000;45021;42,4;36,464;4;2;;-1;1
004005620;Barum 215/40 ZR16 XL  86 W   TL;Bravuris 2 FR # 1540371000;56007;54,8;47,128;4;2;;-1;1
004005740;Barum 12  R 22.5 152/148 K  TL;BS 73 M+S # 0525006000;56019;312,4;261,28;2;2;;-1;1
