ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
008069040;Bridgestone 110/70 ZR17  (54W)  TL;T 30 FRONT # 06254;239593;74;68,14;1;0;;-1;1
008069070;Bridgestone 120/60 ZR17  (55W)  TL;T 30 FRONT # 06259;242779;81,5;74,59;1;0;;-1;1
008069210;Bridgestone 190/50 ZR17  (73W)  TL;T 30 REAR # 06275;242774;123;110,28;1;0;;-1;1
008073080;Bridgestone 205/65 R 15  94 H   TL;T001 # 07116;271318;66,8;57,448;4;0;;-1;1
008073320;Bridgestone 215/55 R 16  93 W   TL;T001 # 07107;270206;93,2;80,152;4;0;;-1;1
008073330;Bridgestone 215/55 R 16 XL  97 W   TL;T001 # 07108;295502;94,4;81,184;4;0;;-1;1
008073410;Bridgestone 165/50 R 15  73 V   TL;RE 040 # 06996;273236;47,6;40,936;4;0;;-1;1
008074540;Bridgestone 120/70 ZR17  (58W)  TL;T 30 G FRONT # 07410;268763;97,6;88,436;1;0;;-1;1
008075310;Bridgestone 205/80 R 16 XL 104 T   TL;LM 80 Evo # 06688;282241;94,9;81,614;4;0;;-1;1
008076240;Bridgestone 225/45 R 18  91 W   TL;S001 RFT * # 06199;256107;157,3;135,278;4;0;;-1;1
008076950;Bridgestone 185/65 R 15  88 T   TL;B 280 # 07702;301803;40,9;35,174;4;0;;-1;1
008077090;Bridgestone 195/65 R 15  91 T   TL;Ecopia EP 150 # 07757;309995;45,1;38,786;4;0;;-1;1
008077190;Bridgestone 205/45 R 17 XL  88 W   TL;RE 050 A # 07083;417372;104,7;90,042;4;0;;-1;1
008077390;Bridgestone 205/50 R 17 XL  93 W   TL;T001 VOL V40 # 07287;292255;99,9;85,914;4;0;;-1;1
008077410;Bridgestone 225/45 R 17  91 V   TL;T001 FIAT # 07428;300895;84,1;72,326;4;0;;-1;1
008077440;Bridgestone 215/45 R 17  87 W   TL;T001 # 07739;295498;87,6;75,336;4;0;;-1;1
008079610;Bridgestone 245/50 R 18 100 Y   TL;S001 * # 07830;335448;153,6;132,096;4;0;;-1;1
008081170;Bridgestone 255/40 R 17  94 Y   TL;RE 050 A # 09283;353542;121,6;104,576;4;0;;-1;1
